0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
1098,1272,1465,1697,1950,2250,2595,3008,3474,3954,4554,5220,5897,6730,7640,8250,8907,9589,10177,10793,11317,11784,12158,12507,12802,13076,13225,13398,13535,13658,13772,13870,13982,14069,14133,14188,14230,14286,14330,14368,14411,14438,14472,14495,14522,14533,14551,14563,14580,14592,14604,14618,14627,14631,14640,14644,14646,14651,14655,14658,14664,14669,14672,14675,14676,14678,14684,14685,14687,14688,14688,14690,14693,14694,14697,14699,14700,14702,14703,14703,14704,14704,14705,14709,14710,14710,14711,14711,14713,14713,14713,14713,14714,14714,14714,14714,14715,14715,14715,14715,14715,14715,14716,14716,14716,14716,14716,14716,14716,14716,14716,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,1163,1317,1454,1623,1831,2032,2258,2513,2808,3107,3450,3775,4123,4472,4834,5245,5642,6056,6545,6987,7483,8010,8572,9123,9727,9950,10209,10469,10689,10903,11100,11272,11432,11591,11727,11852,11928,12020,12082,12142,12194,12250,12290,12337,12371,12405,12430,12450,12472,12491,12507,12520,12532,12540,12547,12557,12562,12567,12572,12577,12578,12580,12583,12584,12589,12590,12596,12600,12601,12602,12604,12605,12605,12607,12608,12608,12609,12609,12612,12612,12613,12613,12614,12614,12615,12615,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,1079,1259,1418,1653,1901,2219,2555,2913,3357,3857,4494,5145,5921,6802,7090,7385,7651,7983,8274,8559,8861,9109,9325,9488,9649,9906,10153,10347,10557,10699,10824,10929,11040,11129,11195,11277,11335,11389,11444,11495,11537,11579,11612,11641,11671,11696,11718,11733,11757,11765,11778,11787,11792,11799,11804,11808,11813,11813,11817,11819,11822,11824,11824,11827,11829,11830,11833,11835,11835,11836,11836,11836,11838,11838,11839,11839,11841,11841,11841,11841,11841,11841,11843,11843,11843,11843,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,11844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,810,930,1051,1203,1363,1536,1734,1943,2179,2445,2745,3055,3456,3901,4326,4805,5331,5903,6532,7177,7846,8634,9443,10343,11231,11573,11893,12279,12642,12962,13295,13610,13904,14151,14352,14539,14678,14835,14984,15101,15213,15303,15364,15419,15478,15533,15572,15616,15659,15676,15710,15736,15754,15780,15799,15815,15826,15836,15853,15863,15870,15878,15888,15889,15892,15900,15905,15907,15909,15912,15914,15916,15916,15917,15917,15918,15918,15918,15918,15918,15918,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,15919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,831,998,1218,1462,1735,2030,2366,2730,3110,3557,4021,4565,5179,5848,6080,6325,6580,6827,7100,7381,7679,8010,8310,8632,8943,9286,9622,9925,10216,10466,10689,10887,11030,11177,11318,11441,11549,11643,11729,11804,11871,11930,11975,12018,12059,12099,12133,12161,12177,12193,12207,12227,12235,12244,12264,12276,12278,12279,12284,12293,12300,12304,12305,12311,12314,12318,12320,12320,12320,12324,12324,12325,12326,12327,12328,12329,12331,12331,12332,12332,12332,12332,12332,12332,12332,12332,12333,12334,12334,12335,12335,12335,12335,12335,12335,12335,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,907,1023,1139,1279,1422,1603,1820,2030,2266,2539,2843,3103,3361,3639,3978,4324,4705,5056,5429,5826,6226,6627,7106,7595,8118,8529,8979,9363,9711,10023,10314,10565,10808,11007,11175,11309,11445,11586,11688,11792,11865,11941,12025,12104,12158,12208,12250,12290,12320,12349,12380,12402,12418,12437,12453,12466,12482,12488,12497,12505,12515,12525,12530,12536,12545,12549,12554,12555,12558,12564,12568,12570,12572,12573,12573,12573,12573,12574,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,12575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,502,575,663,777,911,1075,1238,1455,1707,1961,2288,2676,3141,3679,4269,4828,5323,5999,6703,7489,8313,9228,10230,11315,12527,13347,14191,15010,15814,16504,17128,17681,18210,18648,19029,19349,19644,19925,20126,20344,20513,20648,20803,20926,21032,21120,21197,21272,21340,21400,21446,21493,21520,21542,21573,21592,21611,21631,21645,21658,21666,21681,21687,21700,21707,21714,21719,21725,21728,21731,21732,21736,21737,21740,21742,21743,21745,21749,21750,21751,21754,21754,21755,21756,21757,21757,21757,21759,21759,21759,21760,21760,21760,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,21761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,1037,1209,1365,1592,1854,2133,2477,2888,3325,3842,4453,5173,6008,6906,7604,8313,9049,9799,10494,11150,11717,12279,12809,13282,13753,13949,14188,14376,14613,14800,14955,15116,15266,15401,15480,15585,15665,15742,15808,15861,15914,15950,15996,16033,16059,16085,16106,16130,16151,16166,16183,16198,16219,16232,16243,16254,16260,16270,16278,16283,16287,16291,16294,16297,16299,16307,16314,16315,16317,16319,16320,16321,16325,16326,16326,16326,16326,16327,16328,16329,16331,16332,16335,16335,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,850,967,1110,1291,1504,1759,2007,2306,2629,3025,3442,3980,4617,5306,5790,6297,6809,7358,7898,8429,9003,9543,10113,10586,11109,11455,11802,12109,12450,12723,12992,13224,13450,13640,13806,13943,14065,14193,14290,14383,14452,14535,14586,14643,14682,14723,14761,14793,14822,14852,14869,14893,14910,14931,14946,14955,14963,14968,14979,14987,14993,15000,15008,15010,15010,15014,15015,15017,15019,15019,15019,15022,15022,15023,15023,15024,15025,15025,15026,15027,15028,15028,15028,15028,15028,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,15029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,1173,1339,1546,1778,2019,2318,2658,3040,3494,4014,4565,5207,5991,6889,7517,8178,8797,9431,10032,10646,11207,11723,12187,12683,13078,13322,13540,13776,14001,14185,14358,14519,14648,14779,14914,15007,15096,15187,15249,15311,15365,15420,15458,15495,15533,15564,15580,15601,15624,15639,15654,15665,15676,15683,15692,15699,15705,15711,15714,15718,15723,15726,15730,15734,15736,15737,15738,15740,15741,15741,15743,15745,15745,15745,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,15746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,970,1081,1226,1377,1555,1760,1970,2192,2461,2748,3041,3304,3591,3892,4212,4548,4894,5249,5610,6023,6495,6931,7431,7886,8368,8800,9217,9614,9953,10272,10571,10844,11076,11308,11475,11634,11769,11893,11982,12072,12140,12223,12286,12348,12388,12425,12467,12497,12528,12563,12589,12608,12628,12645,12657,12676,12687,12697,12708,12719,12726,12731,12735,12739,12742,12747,12748,12749,12753,12754,12757,12758,12761,12764,12764,12765,12766,12766,12766,12767,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,795,895,1022,1155,1307,1498,1715,1932,2196,2476,2820,3222,3671,4143,4646,5226,5823,6474,7241,7997,8834,9741,10738,11827,13005,13394,13827,14266,14718,15132,15521,15918,16252,16497,16758,16977,17173,17331,17478,17637,17769,17870,17959,18038,18121,18196,18251,18315,18372,18416,18454,18497,18532,18560,18579,18605,18624,18641,18662,18678,18690,18699,18711,18719,18723,18729,18738,18744,18746,18750,18751,18753,18754,18756,18758,18758,18760,18763,18764,18766,18766,18766,18766,18766,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,18767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,920,1069,1229,1421,1621,1840,2114,2455,2851,3368,3979,4711,5596,6650,7898,8167,8501,8850,9233,9608,10031,10418,10786,11230,11655,12131,12593,12996,13382,13701,14004,14288,14518,14735,14935,15119,15284,15428,15567,15676,15789,15859,15946,16002,16049,16106,16145,16192,16228,16275,16298,16323,16344,16366,16383,16399,16412,16421,16432,16445,16459,16467,16470,16476,16479,16479,16484,16488,16494,16499,16501,16505,16508,16511,16512,16513,16515,16516,16520,16522,16522,16523,16523,16523,16524,16524,16525,16526,16526,16526,16526,16526,16526,16528,16528,16528,16528,16528,16528,16528,16528,16528,16528,16528,16528,16528,16528,16528,16528,16528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,652,743,838,962,1093,1235,1415,1623,1861,2168,2480,2854,3283,3752,4310,4777,5341,5968,6697,7428,8226,9095,10023,11046,12159,12768,13351,13934,14517,15012,15502,15920,16330,16664,16971,17255,17499,17690,17887,18031,18170,18301,18420,18530,18625,18699,18777,18834,18874,18929,18979,19023,19049,19083,19110,19129,19153,19172,19183,19199,19208,19220,19231,19240,19251,19255,19263,19265,19269,19273,19275,19277,19278,19278,19281,19283,19284,19285,19288,19288,19289,19291,19291,19292,19293,19294,19294,19294,19295,19296,19296,19296,19296,19296,19297,19297,19297,19297,19297,19297,19297,19297,19298,19299,19299,19299,19299,19299,19299,19299,19299,19300,19300,19300,19300,19300,19300,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,19301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,1118,1310,1492,1722,1970,2266,2570,2969,3427,3958,4582,5318,6151,6350,6558,6801,7079,7383,7696,8001,8286,8590,8861,9202,9511,9869,10208,10453,10741,10986,11198,11390,11560,11714,11831,11956,12057,12158,12236,12308,12378,12444,12493,12527,12557,12599,12623,12646,12675,12694,12706,12716,12729,12740,12747,12751,12755,12760,12764,12768,12770,12771,12772,12776,12777,12779,12781,12785,12785,12786,12788,12788,12788,12790,12790,12790,12790,12791,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,1446,1655,1915,2196,2509,2876,3366,3878,4464,5136,5940,6814,7054,7343,7629,7912,8167,8424,8685,8907,9066,9210,9320,9410,9505,9656,9798,9920,10041,10131,10201,10252,10304,10363,10414,10458,10507,10540,10574,10605,10628,10647,10663,10677,10691,10699,10706,10717,10720,10726,10730,10734,10737,10739,10742,10745,10749,10750,10751,10751,10752,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,10754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,1198,1349,1560,1764,2044,2344,2662,2996,3441,3908,4507,5198,5932,6826,7397,8010,8665,9263,9857,10459,11014,11547,12051,12446,12844,13050,13250,13451,13647,13834,13984,14112,14238,14359,14454,14549,14622,14694,14757,14806,14851,14900,14937,14974,15002,15038,15060,15079,15101,15115,15136,15149,15163,15178,15189,15205,15214,15226,15236,15243,15252,15258,15263,15269,15277,15281,15283,15289,15293,15298,15301,15304,15309,15309,15313,15314,15316,15318,15319,15320,15322,15323,15324,15326,15329,15330,15331,15331,15332,15333,15333,15333,15333,15335,15336,15336,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,970,1112,1296,1512,1747,2012,2340,2686,3094,3583,4142,4759,5570,6469,7150,7832,8548,9201,9843,10467,11001,11503,11917,12305,12688,12867,13031,13203,13353,13515,13634,13760,13868,13977,14061,14133,14197,14254,14322,14365,14414,14456,14497,14522,14548,14574,14598,14613,14633,14650,14661,14671,14679,14685,14694,14703,14705,14710,14711,14715,14719,14721,14723,14728,14731,14732,14735,14735,14741,14741,14742,14745,14746,14746,14747,14749,14749,14750,14750,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,1018,1132,1273,1413,1586,1789,1962,2187,2443,2715,3061,3337,3618,3911,4234,4629,4977,5351,5730,6160,6601,7018,7489,8013,8504,8937,9350,9748,10109,10459,10755,11005,11229,11442,11634,11780,11926,12046,12160,12262,12345,12418,12484,12541,12587,12627,12661,12701,12729,12770,12800,12828,12848,12862,12880,12888,12903,12913,12922,12933,12940,12946,12947,12954,12959,12963,12966,12970,12972,12976,12985,12988,12990,12991,12991,12994,12996,12999,13001,13002,13005,13006,13008,13008,13008,13009,13009,13009,13010,13011,13011,13012,13012,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,634,727,818,943,1081,1226,1406,1620,1848,2112,2436,2773,3164,3612,3935,4310,4725,5176,5626,6098,6654,7197,7744,8319,8946,9596,10180,10745,11269,11692,12111,12463,12785,13085,13348,13572,13791,13972,14132,14274,14408,14518,14606,14697,14769,14832,14911,14970,15017,15066,15093,15122,15148,15164,15192,15209,15224,15233,15249,15258,15266,15278,15283,15287,15294,15297,15300,15306,15309,15309,15313,15314,15315,15319,15320,15320,15321,15322,15322,15322,15323,15324,15324,15324,15324,15324,15324,15324,15324,15324,15324,15324,15324,15324,15324,15324,15324,15324,15324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,819,933,1035,1152,1290,1466,1652,1853,2089,2353,2652,2984,3356,3805,4249,4720,5294,5953,6642,7413,8343,9320,10393,11651,13005,13544,14135,14727,15259,15769,16309,16748,17140,17494,17756,18021,18247,18467,18645,18805,18954,19066,19166,19262,19346,19420,19487,19543,19601,19652,19711,19757,19797,19823,19847,19861,19879,19902,19911,19928,19940,19948,19963,19968,19979,19984,19989,19993,19996,19999,20003,20009,20011,20013,20015,20017,20017,20019,20019,20019,20020,20021,20021,20021,20021,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,20022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,1205,1368,1584,1864,2165,2535,2938,3376,3881,4463,5175,5900,6801,7798,8925,9676,10516,11349,12121,12837,13442,13988,14436,14792,15084,15262,15418,15549,15674,15818,15945,16045,16145,16226,16306,16379,16441,16505,16563,16606,16638,16670,16702,16728,16746,16766,16782,16798,16807,16819,16829,16834,16836,16845,16852,16860,16865,16872,16875,16877,16880,16882,16883,16886,16889,16890,16892,16894,16894,16899,16900,16900,16901,16902,16903,16903,16905,16905,16905,16906,16908,16908,16908,16909,16910,16911,16912,16912,16912,16912,16912,16913,16913,16913,16913,16913,16913,16913,16913,16913,16913,16913,16913,16913,16913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,883,985,1121,1257,1402,1559,1746,1930,2203,2491,2804,3040,3274,3538,3818,4111,4431,4751,5099,5426,5816,6185,6534,6933,7337,7748,8163,8537,8916,9200,9511,9794,10026,10228,10397,10533,10669,10792,10881,10990,11073,11148,11219,11279,11335,11380,11431,11476,11501,11533,11556,11576,11600,11628,11648,11663,11678,11691,11704,11716,11724,11735,11740,11750,11755,11757,11760,11763,11764,11769,11773,11777,11777,11777,11780,11780,11780,11780,11781,11781,11782,11782,11782,11782,11782,11783,11783,11784,11784,11784,11785,11785,11785,11785,11785,11785,11786,11786,11786,11786,11786,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,11787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
